cluster,avg_magnitude,max_magnitude,cluster_size,avg_depth,avg_energy,avg_freq,depth_risk,avg_magnitude_norm,max_magnitude_norm,cluster_size_norm,avg_energy_norm,avg_freq_norm,depth_risk_norm,risk_score,risk_label
29,4.365,5.2,20,10.89195,0.20116279069767412,0.014845679012345639,0.08409049819415655,0.4670900692840645,0.16129032258064524,0.005738880918220947,0.4670900692840646,0.012717268677003835,0.9188881423017523,38.1862275167672,Medium
30,4.45,4.9,8,14.2725,0.22093023255813915,0.007175925925925875,0.06547716483876248,0.5946882217090073,0.06451612903225823,0.0,0.5946882217090063,0.0021301957582920998,0.6974697192441575,40.540339476856914,Medium
31,4.333333333333333,4.8,9,12.777777777777779,0.1937984496124028,0.012482853223593922,0.07258064516129031,0.41955350269437997,0.032258064516129004,0.0004782400765184127,0.4195535026943803,0.009455702282641042,0.7819705112948712,32.97264495107949,Medium
32,4.475,5.2,8,18.82125,0.22674418604651134,0.011574074074074037,0.05045090496310778,0.6322170900692834,0.16129032258064524,0.0,0.632217090069284,0.008201253669424594,0.5187220063764407,40.280148748708264,Medium
33,4.447058823529411,5.0,17,35.616705882352946,0.22024623803009544,0.013725490196078395,0.027309938889995562,0.590273060725444,0.09677419354838723,0.004304160688665711,0.5902730607254446,0.011170997167749459,0.24344427303842267,33.846981285041295,Medium
34,4.5813953488372094,6.9,43,11.923023255813956,0.25148729042725765,0.0301607809359747,0.0773812737317569,0.7919329716955792,0.7096774193548387,0.01673840267814443,0.7919329716955795,0.03385772769778452,0.8390772953116046,56.40454044176797,High
35,4.461111111111111,5.3,18,15.47888888888889,0.2235142118863046,0.013065843621399117,0.060683703054413056,0.6113677187580189,0.19354838709677424,0.0047824007651841235,0.6113677187580188,0.010260442902440256,0.6404481890855137,41.341103153995604,Medium
36,4.720000000000001,5.9,10,10.55,0.28372093023255784,0.00845679012345677,0.08658008658008658,1.0,0.3870967741935485,0.0009564801530368245,1.0,0.003898258237674582,0.9485035112391695,66.22114872499277,High
37,4.529999999999999,5.2,20,16.668,0.23953488372092996,0.01648148148148143,0.05659950192438307,0.7147806004618928,0.16129032258064524,0.005738880918220947,0.7147806004618938,0.014975276180793442,0.5918638030223253,45.68796906150512,Medium
38,4.481081081081081,5.8,37,12.14108108108108,0.2281583909490883,0.02349015682349011,0.07609723993254083,0.6413457337244859,0.35483870967741926,0.013868962219033956,0.6413457337244864,0.024649819294939496,0.8238028286942276,46.72240010235489,Medium
39,4.4125,5.4,16,11.80375,0.2122093023255811,0.012075617283950568,0.07810211851996485,0.5383949191685904,0.22580645161290347,0.003825920612147298,0.5383949191685912,0.008893567290869507,0.8476522406600171,40.92901591154596,Medium
40,4.35,4.8,8,18.105249999999998,0.19767441860465096,0.0067901234567901,0.05234163384410045,0.4445727482678974,0.032258064516129004,0.0,0.44457274826789883,0.0015976468187191136,0.5412135289460683,30.524107138353756,Medium
41,4.444444444444445,5.1,18,16.93277777777778,0.21963824289405653,0.013305898491083627,0.05576380928777223,0.5863484731845006,0.12903225806451601,0.0047824007651841235,0.5863484731845007,0.010591806687063485,0.5819226633980467,38.89299098269263,Medium
42,4.441666666666666,5.2,12,14.673333333333332,0.21899224806201523,0.009670781893004066,0.06380263717566993,0.5821785989222477,0.16129032258064524,0.001912960306073649,0.582178598922248,0.005574012234197658,0.677550059103282,40.1726317740283,Medium
43,4.4,4.7,8,15.20875,0.20930232558139508,0.005632716049382662,0.061695072106115516,0.5196304849884532,0.0,0.0,0.5196304849884529,0.0,0.6524791206914486,35.768711059794384,Medium
44,4.355555555555556,5.1,9,12.74,0.19896640826873357,0.006995884773662489,0.07278020378457059,0.452912496792405,0.12903225806451601,0.0004782400765184127,0.4529124967924044,0.001881672919824673,0.7843443985954743,35.08433363960355,Medium
