place,magnitude,longitude,latitude,depth_km,time,year,month,day,energy_index,depth_score,frequency_index,mag_variability,composite_score
"107 km SE of Murghob, Tajikistan",4.4,74.7217,37.4095,11.059,2023-10-31 19:56:12.143,2023,10,31,0.20930232558139528,0.29546302063422847,0.02160493827160494,0.4786717319262231,0.22432356346888016
"99 km SE of Murghob, Tajikistan",4.1,74.6496,37.4538,12.677,2023-10-31 19:54:27.109,2023,10,31,0.13953488372092981,0.25942737250854814,0.020370370370370372,0.4810656495862006,0.19094649245998516
"97 km N of Barishal, Pakistan",4.8,74.6137,37.1972,10.0,2023-10-31 09:19:12.427,2023,10,31,0.3023255813953487,0.3247886905645809,0.02160493827160494,0.4874576538913696,0.2655310087811239
"100 km N of Barishal, Pakistan",4.5,74.6008,37.226,10.0,2023-10-31 09:19:03.050,2023,10,31,0.23255813953488325,0.3247886905645809,0.020370370370370372,0.4810656495862006,0.23984496150887702
"102 km SSE of Murghob, Tajikistan",4.3,74.5637,37.381,12.149,2023-10-31 00:40:30.322,2023,10,31,0.18604651162790664,0.27021202889834356,0.019753086419753086,0.47975264994671085,0.2095704553912981
"150 km E of Aqqan, China",4.6,83.6482,36.5329,10.0,2023-10-31 00:40:06.435,2023,10,31,0.2558139534883721,0.3247886905645809,0.011728395061728394,0.48092669358977597,0.24580315916597395
"157 km E of Aqqan, China",4.3,83.7227,36.5324,10.0,2023-10-30 22:24:09.595,2023,10,30,0.18604651162790664,0.3247886905645809,0.011728395061728394,0.47975264994671085,0.22120844796835126
"33 km SE of Khorugh, Tajikistan",4.2,71.7861,37.2573,136.129,2023-10-29 19:35:03.796,2023,10,29,0.16279069767441845,0.017639821396483173,0.6413580246913579,0.47743965010483,0.29334215322373125
"160 km E of Aqqan, China",4.2,83.7545,36.5994,10.0,2023-10-29 12:58:37.030,2023,10,29,0.16279069767441845,0.3247886905645809,0.01111111111111111,0.4784622399294971,0.21272103059439398
"45 km W of Minbu, Myanmar",4.3,94.448,20.1066,78.31,2023-10-29 11:02:19.991,2023,10,29,0.18604651162790664,0.03716833909391073,0.017283950617283952,0.4784622399294971,0.15049868748699052
"83 km NE of Khandūd, Afghanistan",4.5,73.088,37.3853,65.278,2023-10-28 11:23:08.509,2023,10,28,0.23255813953488325,0.04627522066848025,0.158641975308642,0.47530878009445304,0.20392096484565764
Bay of Bengal,4.7,88.2129,6.5874,10.014,2023-10-28 11:09:16.291,2023,10,28,0.2790697674418601,0.32436422130795256,0.0,0.47530878009445293,0.2500617909458071
"25 km WNW of Kunduz, Afghanistan",4.3,68.5758,36.7842,45.946,2023-10-28 10:53:43.791,2023,10,28,0.18604651162790664,0.06909780180341075,0.07716049382716049,0.4591712862359395,0.17055654591280106
"34 km SSE of Jurm, Afghanistan",4.2,70.9725,36.5742,183.956,2023-10-28 04:41:09.437,2023,10,28,0.16279069767441845,0.010713041799309006,0.9580246913580246,0.46066993548905805,0.36826166779873853
"68 km E of Tuensang, India",4.8,95.5087,26.2481,79.962,2023-10-27 23:23:47.733,2023,10,27,0.3023255813953487,0.03622328465249478,0.02777777777777778,0.4636977479967762,0.19136888129545662
"30 km S of Jurm, Afghanistan",4.4,70.8742,36.5947,211.79,2023-10-27 19:13:34.846,2023,10,27,0.20930232558139528,0.008115204510802403,0.9574074074074074,0.4636977479967762,0.38419112913255726
